Index,Height(Inches),Weight(Pounds),Height_cm,Weight_kg
1,65.78331,112.9925,167.0896074,51.25249406
2,71.51521,136.4873,181.6486334,61.90954738
3,69.39874,153.0269,176.2727996,69.41177762
4,68.2166,142.3354,173.270164,64.56219876
5,67.78781,144.2971,172.1810374,65.45201018
6,68.69784,123.3024,174.4925136,55.92898222
7,69.80204,141.4947,177.2971816,64.18086396
8,70.01472,136.4623,177.8373888,61.89820758
9,67.90265,112.3723,172.472731,50.9711763
10,66.78236,120.6672,169.6271944,54.73367658
11,66.48769,127.4516,168.8787326,57.81102615
12,67.62333,114.143,171.7632582,51.77435166
13,68.30248,125.6107,173.4882992,56.97600863
14,67.11656,122.4618,170.4760624,55.54769279
15,68.27967,116.0866,173.4303618,52.65595307
16,71.0916,139.9975,180.572664,63.50174602
17,66.461,129.5023,168.81094,58.74120726
18,68.64927,142.9733,174.3691458,64.85154509
19,71.23033,137.9025,180.9250382,62.55147078
20,67.13118,124.0449,170.5131972,56.26577428
21,67.83379,141.2807,172.2978266,64.08379527
22,68.87881,143.5392,174.9521774,65.10823281
23,63.48115,97.90191,161.242121,44.40752316
24,68.42187,129.5027,173.7915498,58.7413887
25,67.62804,141.8501,171.7752216,64.34207056
26,67.20864,129.7244,170.7099456,58.84195004
27,70.84235,142.4235,179.939569,64.60216021
28,67.49434,131.5502,171.4356236,59.67011832
29,66.53401,108.3324,168.9963854,49.13870998
30,65.44098,113.8922,166.2200892,51.66059078
31,69.5233,103.3016,176.589182,46.85677935
32,65.8132,120.7536,167.165528,54.77286693
33,67.8163,125.7886,172.253402,57.05670265
34,70.59505,136.2225,179.311427,61.78943622
35,71.80484,140.1015,182.3842936,63.54891959
36,69.20613,128.7487,175.7835702,58.39938033
37,66.80368,141.7994,169.6813472,64.31907344
38,67.65893,121.2319,171.8536822,54.98981998
39,67.80701,131.3478,172.2298054,59.5783113
40,64.04535,106.7115,162.675189,48.40348271
41,68.57463,124.3598,174.1795602,56.4086104
42,65.18357,124.8591,165.5662678,56.63508889
43,69.65814,139.6711,176.9316756,63.35369359
44,67.96731,137.3696,172.6369674,62.3097516
45,65.98088,106.4499,167.5914352,48.28482304
46,68.67249,128.7639,174.4281246,58.40627493
47,66.88088,145.6837,169.8774352,66.08096085
48,67.69868,116.819,171.9546472,52.98816385
49,69.82117,143.6215,177.3457718,65.14556343
50,69.08817,134.9325,175.4839518,61.20430254
51,69.91479,147.0219,177.5835666,66.68795766
52,67.33182,126.3285,171.0228228,57.30159697
53,70.26939,125.4839,178.4842506,56.91849317
54,69.10344,115.7084,175.5227376,52.48440457
55,65.38356,123.4892,166.0742424,56.01371321
56,70.18447,147.8926,178.2685538,67.08290022
57,70.40617,155.8987,178.8316718,70.71440313
58,66.54376,128.0742,169.0211504,58.09343253
59,66.36418,119.3701,168.5650172,54.1453224
60,67.537,133.8148,171.54398,60.69732276
61,66.50418,128.7325,168.9206172,58.39203214
62,68.99958,137.5453,175.2589332,62.38944772
63,68.30355,129.7604,173.491017,58.85827936
64,67.01255,128.824,170.211877,58.43353581
65,70.80592,135.3165,179.8470368,61.37848187
66,68.21951,109.6113,173.2775554,49.71880879
67,69.05914,142.4684,175.4102156,64.62252649
68,67.73103,132.749,172.0368162,60.21388441
69,67.21568,103.5275,170.7278272,46.95924578
70,67.36763,124.7299,171.1137802,56.5764848
71,65.27033,129.3137,165.7866382,58.65565981
72,70.84278,134.0175,179.9406612,60.78926586
73,69.92442,140.3969,177.6080268,63.68291066
74,64.28508,102.8351,163.2841032,46.64517868
75,68.2452,128.5214,173.342808,58.29627887
76,66.35708,120.2991,168.5469832,54.56670937
77,68.36275,138.6036,173.641385,62.86948413
78,65.4769,132.9574,166.311326,60.30841298
79,69.71947,115.6233,177.0874538,52.44580389
80,67.72554,122.524,172.0228716,55.57590621
81,68.63941,134.6254,174.3441014,61.06500444
82,66.78405,121.8986,169.631487,55.29222977
83,70.05147,155.3767,177.9307338,70.47762811
84,66.27848,128.9418,168.3473392,58.48696895
85,69.20198,129.1013,175.7730292,58.55931687
86,69.13481,139.4733,175.6024174,63.26397309
87,67.36436,140.8901,171.1054744,63.90662224
88,70.09297,131.5916,178.0361438,59.68889703
89,70.1766,121.1232,178.248564,54.94051453
90,68.22556,131.5127,173.2929224,59.65310862
91,68.12932,136.5479,173.0484728,61.93703506
92,70.24256,141.4896,178.4161024,64.17855064
93,71.48752,140.6104,181.5783008,63.77975256
94,69.20477,112.1413,175.7801158,50.86639655
95,70.06306,133.457,177.9601724,60.53502754
96,70.55703,131.8001,179.2148562,59.78347096
97,66.28644,120.0285,168.3675576,54.44396737
98,63.42577,123.0972,161.1014558,55.83590514
99,66.76711,128.1432,169.5884594,58.12473037
100,68.88741,115.4759,174.9740214,52.37894443
101,64.87434,102.0927,164.7808236,46.30843198
102,67.09272,130.353,170.4155088,59.12707798
103,68.34761,134.1842,173.6029294,60.86487965
104,65.61073,98.64133,166.6512542,44.74291816
105,67.75551,114.5599,172.0989954,51.96345416
106,68.0212,123.4917,172.773848,56.01484719
107,67.66193,123.048,171.8613022,55.81358842
108,66.3146,126.4772,168.439084,57.3690461
109,69.43706,128.417,176.3701324,58.24892386
110,63.83624,127.1941,162.1440496,57.69422621
111,67.72277,122.0562,172.0158358,55.36371587
112,70.05098,127.6064,177.9294892,57.88124219
113,70.18602,131.6423,178.2724908,59.71189414
114,65.94588,111.8955,167.5025352,50.75490364
115,70.007,122.039,177.81778,55.35591409
116,68.61129,128.5547,174.2726766,58.31138348
117,68.80817,132.6792,174.7727518,60.18222369
118,69.76212,136.0632,177.1957848,61.71717901
119,65.45539,115.9403,166.2566906,52.58959256
120,68.82534,136.9041,174.8163636,62.09860453
121,65.8003,119.8804,167.132762,54.3767904
122,67.21474,109.0055,170.7254396,49.44402276
123,69.42021,128.2705,176.3273334,58.18247264
124,68.94396,135.2913,175.1176584,61.36705135
125,67.9415,106.8558,172.57141,48.46893603
126,65.62506,123.2939,166.6876524,55.92512669
127,66.49607,109.5143,168.9000178,49.67481037
128,67.92809,119.3087,172.5373486,54.11747185
129,68.89415,140.2402,174.991141,63.6118328
130,70.241,133.9841,178.41214,60.77411589
131,68.26623,132.5807,173.3962242,60.13754487
132,71.23161,130.6988,180.9282894,59.28393009
133,69.09747,115.5637,175.5075738,52.41876981
134,64.39693,123.7941,163.5682022,56.15201341
135,71.09585,128.1427,180.583459,58.12450358
136,68.21868,135.9646,173.2754472,61.67245484
137,65.91721,116.6273,167.4297134,52.90121026
138,67.4369,126.8241,171.289726,57.52639717
139,73.90107,151.3913,187.7087178,68.66988255
140,69.98149,130.4022,177.7529846,59.1493947
141,69.51862,136.2068,176.5772948,61.78231483
142,65.18437,113.3989,165.5682998,51.43683385
143,68.00869,125.3287,172.7420726,56.84809569
144,68.3384,127.5846,173.579536,57.87135388
145,65.18417,107.1564,165.5677918,48.60528579
146,68.26209,116.4588,173.3857086,52.82478001
147,68.56865,133.8402,174.164371,60.708844
148,64.49675,112.8901,163.821745,51.20604624
149,68.71053,130.7568,174.5247462,59.31023843
150,68.89148,137.7571,174.9843592,62.4855185
151,69.54011,125.4036,176.6318794,56.88206973
152,67.39964,138.4659,171.1950856,62.80702451
153,66.47521,120.8184,168.8470334,54.80225969
154,66.01217,140.1539,167.6709118,63.57268781
155,72.44434,136.7397,184.0086236,62.024034
156,64.12642,106.1139,162.8811068,48.13241613
157,70.98112,158.9562,180.2920448,72.10126067
158,67.50124,108.7868,171.4531496,49.34482219
159,72.01515,138.7758,182.918481,62.94759267
160,65.31143,115.9136,165.8910322,52.57748165
161,67.07509,146.2922,170.3707286,66.35697158
162,64.39148,109.8765,163.5543592,49.83910139
163,69.37003,139.0499,176.1998762,63.07192224
164,68.37921,119.9001,173.6831934,54.38572616
165,65.31018,128.3069,165.8878572,58.19898338
166,67.1369,127.2428,170.527726,57.71631614
167,68.39468,115.2306,173.7224872,52.26767832
168,66.2918,124.7975,168.381172,56.60714762
169,67.1866,126.9511,170.653964,57.58400335
170,65.99156,111.2711,167.6185624,50.47168079
171,69.43393,122.6089,176.3621822,55.61441617
172,67.97463,124.2084,172.6555602,56.33993657
173,67.76133,124.6453,172.1137782,56.53811092
174,65.27864,119.5169,165.8077456,54.2119097
175,73.83364,139.2983,187.5374456,63.18459449
176,66.81312,104.8265,169.7053248,47.54846179
177,66.89411,123.0424,169.9110394,55.8110483
178,65.73568,118.8923,166.9686272,53.92859614
179,65.98283,121.4939,167.5963882,55.10866109
180,66.58396,119.2488,169.1232584,54.09030169
181,67.11294,135.0239,170.4668676,61.24576085
182,65.87481,116.228,167.3220174,52.72009098
183,66.78067,109.1731,169.6229018,49.52004478
184,68.73577,124.2237,174.5888558,56.34687653
185,66.22666,141.1645,168.2157164,64.03108788
186,65.95968,129.1501,167.5375872,58.58145216
187,68.58372,127.8693,174.2026488,58.00049153
188,66.59347,120.9244,169.1474138,54.85034044
189,66.96574,127.6466,170.0929796,57.89947659
190,68.08015,101.4693,172.923581,46.02566273
191,70.19025,144.9927,178.283235,65.76752878
192,65.52149,110.9523,166.4245846,50.32707566
193,67.45905,132.8625,171.345987,60.2653671
194,67.40985,146.3385,171.221019,66.37797289
195,69.66158,145.5894,176.9404132,66.03818712
196,65.79799,120.8431,167.1268946,54.81346342
197,66.10558,115.7813,167.9081732,52.51747143
198,68.23987,128.3019,173.3292698,58.19671542
199,68.02403,127.4718,172.7810362,57.82018871
200,71.39044,127.8761,181.3317176,58.00357595
201,65.7316,121.4997,166.958264,55.11129192
202,66.43358,112.7148,168.7412932,51.12653156
203,70.01309,135.002,177.8332486,61.23582718
204,69.48146,128.6789,176.4829084,58.36771961
205,68.62764,124.4062,174.3142056,56.42965707
206,68.36275,140.026,173.641385,63.51467339
207,68.39028,117.519,173.7113112,53.30567825
208,68.77413,143.8737,174.6862902,65.25995933
209,69.9236,141.1703,177.605944,64.03371872
210,71.55542,155.9414,181.7507668,70.73377151
211,68.44764,134.0093,173.8570056,60.78554641
212,66.71398,130.0975,169.4535092,59.01118522
213,66.68413,106.2265,169.3776902,48.18349059
